Level,Subject,Awarded Count 2025,Awarded Count 2024,Awarded Count 2023,Awarded Count 2022,Awarded Count 2021,Awarded Count 2020,Awarded Count 2019
SCQF2,Scottish Bagpipes,65,105,85,50,75,85,80
SCQF2,Scottish Pipe Band Drumming,[c],5,20,10,10,5,[z]
SCQF3,Angling and the Aquatic Environment,20,0,0,0,0,0,0
SCQF3,Climate Change and Sustainability,65,[c],0,[z],[z],[z],[z]
SCQF3,Digital Literacy,15,[c],25,55,45,110,15
SCQF3,Digital Skills,120,140,10,[z],[z],[z],[z]
SCQF3,Enterprise and Employability,20,[c],0,[z],[z],[z],[z]
SCQF3,Professional Cookery,95,80,35,45,35,85,60
SCQF3,Scottish Bagpipes,15,45,35,30,20,25,50
SCQF3,Scottish Pipe Band Drumming,25,15,20,15,10,20,25
SCQF4,Activity Tourism,0,[c],10,10,15,40,10
SCQF4,Administrative Activities,15,10,10,20,20,45,40
SCQF4,Aquaculture,20,25,30,35,5,5,10
SCQF4,Bakery,810,810,775,560,690,415,255
SCQF4,Beauty Skills,80,150,105,210,130,180,195
SCQF4,Beauty and Digital Communication,[z],[z],[z],[c],[c],10,0
SCQF4,Beauty and Hairstyling,150,25,[z],[z],[z],[z],[z]
SCQF4,Business and Marketing,60,195,0,[c],40,5,20
SCQF4,Climate Change and Sustainability,510,180,100,[z],[z],[z],[z]
SCQF4,Computer Games Development,395,395,365,400,290,235,170
SCQF4,Computer Refurbishment,50,15,0,10,0,65,95
SCQF4,Construction Craft and Technician,"1,005",900,640,550,240,65,[z]
SCQF4,Cosmetology,220,205,165,155,145,270,300
SCQF4,Creative Beauty,[z],[z],[z],0,0,0,10
SCQF4,Creative Industries,185,110,115,150,210,160,100
SCQF4,Customer Service,655,490,565,635,585,95,[z]
SCQF4,Cyber Security,85,115,70,95,90,75,120
SCQF4,Dance,155,155,130,120,125,205,125
SCQF4,Data Science,50,60,115,160,140,35,[z]
SCQF4,Digital Literacies,0,0,[c],[z],[z],[z],[z]
SCQF4,Digital Media,125,115,85,70,30,45,15
SCQF4,Digital Media Basics,[z],[z],[z],[z],0,0,40
SCQF4,Digital Passport,5,5,20,65,25,[c],0
SCQF4,Enterprise and Employability,175,135,210,210,190,310,400
SCQF4,Esports,80,40,[c],[z],[z],[z],[z]
SCQF4,Events,10,10,15,[c],30,10,0
SCQF4,Horse Care,215,180,140,75,50,105,65
SCQF4,Horticulture,160,205,140,85,55,85,90
SCQF4,Internet Technology,[z],[z],[z],[z],[z],[z],15
SCQF4,Mobile Technology,0,[c],[c],[c],[c],5,[c]
SCQF4,PC Passport,415,430,245,220,235,195,125
SCQF4,PC Passport: Beginner,[z],[z],[z],[z],[z],15,45
SCQF4,Photography,270,340,285,165,295,240,190
SCQF4,Professional Cookery,325,275,250,160,135,160,150
SCQF4,Science and Health,205,195,180,100,70,45,20
SCQF4,Science and Technology,95,80,100,70,100,55,25
SCQF4,Scottish Bagpipes,95,115,105,50,75,75,100
SCQF4,Scottish Pipe Band Drumming,20,20,10,5,15,20,30
SCQF4,Social Software,0,[c],0,0,0,25,0
SCQF4,Software Development,65,25,30,40,10,55,30
SCQF4,Sporting Events: Personal Best,0,5,0,10,15,[c],40
SCQF4,Sports Coaching: Angling Coarse (Level 1),[z],0,0,[c],0,[c],0
SCQF4,Sports Coaching: Angling Game (Level 1),[z],0,0,5,0,15,5
SCQF4,Sports Coaching: Angling Sea (Level 1),[z],0,0,0,0,[c],[c]
SCQF4,Sports Coaching: Badminton (Level 1),0,[c],40,20,0,25,55
SCQF4,Sports Coaching: Basketball (Level 1),0,0,40,45,[c],105,185
SCQF4,Sports Coaching: Boccia (Level 1),[z],0,0,0,5,15,5
SCQF4,Sports Coaching: Boxing,[z],0,0,0,0,0,25
SCQF4,Sports Coaching: Coaching Diving (Level 1),0,10,[c],15,5,10,20
SCQF4,Sports Coaching: Coaching Swimming (Level 1),0,40,90,125,40,55,120
SCQF4,Sports Coaching: Coaching Synchronised Swimming (Level 1),0,0,5,10,0,15,5
SCQF4,Sports Coaching: Coaching Water Polo (Level 1),[z],0,15,15,0,0,10
SCQF4,Sports Coaching: Curling (Level 1),0,45,35,40,[c],25,45
SCQF4,Sports Coaching: Equestrian Generic (Level 1),0,0,5,5,5,25,30
SCQF4,Sports Coaching: General Gymnastics (Level 1),[c],20,80,70,0,55,90
SCQF4,Sports Coaching: Gymnastics Acrobatic (Level 1),[c],15,35,40,0,15,35
SCQF4,Sports Coaching: Gymnastics Men's Artistic (Level 1),0,0,[c],0,[c],[c],0
SCQF4,Sports Coaching: Gymnastics Pre-School (Level 1),[z],0,0,0,0,[c],15
SCQF4,Sports Coaching: Gymnastics Rhythmic (Level 1),[z],0,0,10,0,[c],10
SCQF4,Sports Coaching: Gymnastics Trampolining (Level 1),[c],20,35,10,[c],30,45
