Level,Subject,Awarded Count 2025,Awarded Count 2024,Awarded Count 2023,Awarded Count 2022,Awarded Count 2021,Awarded Count 2020,Awarded Count 2019
SCQF2,Scottish Bagpipes,15,20,10,10,10,25,30
SCQF2,Scottish Pipe Band Drumming,[c],[c],10,5,5,[c],[z]
SCQF3,Angling and the Aquatic Environment,0,0,0,0,0,0,0
SCQF3,Climate Change and Sustainability,20,[c],0,[z],[z],[z],[z]
SCQF3,Digital Literacy,[c],0,10,15,15,55,[c]
SCQF3,Digital Skills,50,55,[c],[z],[z],[z],[z]
SCQF3,Enterprise and Employability,5,0,0,[z],[z],[z],[z]
SCQF3,Professional Cookery,40,35,15,20,20,30,30
SCQF3,Scottish Bagpipes,5,15,10,10,5,10,15
SCQF3,Scottish Pipe Band Drumming,[c],[c],[c],0,[c],[c],[c]
SCQF4,Activity Tourism,0,[c],[c],10,15,25,5
SCQF4,Administrative Activities,5,[c],5,10,10,25,25
SCQF4,Aquaculture,[c],[c],10,10,[c],[c],[c]
SCQF4,Bakery,540,485,480,325,440,265,170
SCQF4,Beauty Skills,80,145,105,205,130,175,190
SCQF4,Beauty and Digital Communication,[z],[z],[z],[c],[c],10,0
SCQF4,Beauty and Hairstyling,150,25,[z],[z],[z],[z],[z]
SCQF4,Business and Marketing,35,100,0,0,10,[c],10
SCQF4,Climate Change and Sustainability,225,75,45,[z],[z],[z],[z]
SCQF4,Computer Games Development,55,55,55,50,40,25,15
SCQF4,Computer Refurbishment,5,[c],0,[c],0,20,20
SCQF4,Construction Craft and Technician,85,65,40,15,5,[c],[z]
SCQF4,Cosmetology,195,190,145,145,140,255,285
SCQF4,Creative Beauty,[z],[z],[z],0,0,0,5
SCQF4,Creative Industries,135,55,55,80,95,80,50
SCQF4,Customer Service,215,135,155,165,160,25,[z]
SCQF4,Cyber Security,15,25,10,10,15,15,25
SCQF4,Dance,150,145,125,115,120,200,125
SCQF4,Data Science,30,35,35,95,80,15,[z]
SCQF4,Digital Literacies,0,0,0,[z],[z],[z],[z]
SCQF4,Digital Media,15,25,20,10,10,10,[c]
SCQF4,Digital Media Basics,[z],[z],[z],[z],0,0,20
SCQF4,Digital Passport,[c],[c],5,25,5,0,0
SCQF4,Enterprise and Employability,95,55,100,85,90,155,200
SCQF4,Esports,5,10,0,[z],[z],[z],[z]
SCQF4,Events,10,[c],10,[c],15,5,0
SCQF4,Horse Care,195,155,125,65,40,95,60
SCQF4,Horticulture,45,55,50,25,10,25,30
SCQF4,Internet Technology,[z],[z],[z],[z],[z],[z],5
SCQF4,Mobile Technology,0,[c],0,[c],0,0,[c]
SCQF4,PC Passport,205,215,115,85,85,75,30
SCQF4,PC Passport: Beginner,[z],[z],[z],[z],[z],5,15
SCQF4,Photography,160,200,155,105,205,140,110
SCQF4,Professional Cookery,175,145,120,95,60,80,70
SCQF4,Science and Health,95,85,75,45,30,20,10
SCQF4,Science and Technology,30,20,30,25,40,25,[c]
SCQF4,Scottish Bagpipes,25,25,15,5,10,15,20
SCQF4,Scottish Pipe Band Drumming,[c],[c],[c],[c],[c],[c],[c]
SCQF4,Social Software,0,0,0,0,0,10,0
SCQF4,Software Development,15,[c],[c],[c],[c],10,[c]
SCQF4,Sporting Events: Personal Best,0,[c],0,5,[c],0,15
SCQF4,Sports Coaching: Angling Coarse (Level 1),[z],0,0,0,0,0,0
SCQF4,Sports Coaching: Angling Game (Level 1),[z],0,0,0,0,[c],0
