Level,Subject,Awarded Count 2025,Awarded Count 2024,Awarded Count 2023,Awarded Count 2022,Awarded Count 2021,Awarded Count 2020,Awarded Count 2019
SCQF2,Scottish Bagpipes,50,85,70,40,60,60,50
SCQF2,Scottish Pipe Band Drumming,[c],5,10,5,[c],5,[z]
SCQF3,Angling and the Aquatic Environment,20,0,0,0,0,0,0
SCQF3,Climate Change and Sustainability,45,[c],0,[z],[z],[z],[z]
SCQF3,Digital Literacy,10,[c],15,40,30,50,10
SCQF3,Digital Skills,70,85,5,[z],[z],[z],[z]
SCQF3,Enterprise and Employability,15,[c],0,[z],[z],[z],[z]
SCQF3,Professional Cookery,55,40,15,30,20,55,30
SCQF3,Scottish Bagpipes,5,30,20,20,15,10,35
SCQF3,Scottish Pipe Band Drumming,20,15,15,15,10,10,20
SCQF4,Activity Tourism,0,0,5,[c],[c],15,[c]
SCQF4,Administrative Activities,5,10,5,10,15,20,15
SCQF4,Aquaculture,15,20,25,30,[c],[c],5
SCQF4,Bakery,265,320,295,235,245,150,85
SCQF4,Beauty Skills,0,[c],[c],[c],[c],[c],[c]
SCQF4,Beauty and Digital Communication,[z],[z],[z],[z],[z],0,0
SCQF4,Beauty and Hairstyling,[c],[c],[z],[z],[z],[z],[z]
SCQF4,Business and Marketing,20,95,0,[c],30,[c],10
SCQF4,Climate Change and Sustainability,285,100,55,[z],[z],[z],[z]
SCQF4,Computer Games Development,340,340,310,350,245,205,160
SCQF4,Computer Refurbishment,45,10,0,10,0,45,75
SCQF4,Construction Craft and Technician,920,835,600,530,235,60,[z]
SCQF4,Cosmetology,25,20,20,5,5,15,10
SCQF4,Creative Beauty,[z],[z],[z],0,0,0,[c]
SCQF4,Creative Industries,50,55,60,65,105,85,45
SCQF4,Customer Service,435,355,405,470,425,65,[z]
SCQF4,Cyber Security,70,90,60,80,70,55,95
SCQF4,Dance,[c],5,[c],5,10,5,[c]
SCQF4,Data Science,25,20,80,65,65,20,[z]
SCQF4,Digital Literacies,0,0,[c],[z],[z],[z],[z]
SCQF4,Digital Media,110,95,65,60,20,35,15
SCQF4,Digital Media Basics,[z],[z],[z],[z],0,0,20
SCQF4,Digital Passport,[c],5,15,40,20,[c],0
SCQF4,Enterprise and Employability,80,80,115,120,100,150,200
SCQF4,Esports,75,35,[c],[z],[z],[z],[z]
SCQF4,Events,[c],5,[c],0,15,5,0
SCQF4,Horse Care,20,25,10,10,5,10,5
SCQF4,Horticulture,115,145,90,60,45,60,65
SCQF4,Internet Technology,[z],[z],[z],[z],[z],[z],10
SCQF4,Mobile Technology,0,[c],[c],[c],[c],5,[c]
SCQF4,PC Passport,200,210,130,135,150,120,95
SCQF4,PC Passport: Beginner,[z],[z],[z],[z],[z],5,25
SCQF4,Photography,110,140,130,55,90,100,85
SCQF4,Professional Cookery,150,130,130,65,70,80,75
SCQF4,Science and Health,110,110,105,55,40,25,15
SCQF4,Science and Technology,65,55,75,45,65,30,20
SCQF4,Scottish Bagpipes,70,90,85,35,55,55,80
SCQF4,Scottish Pipe Band Drumming,15,15,5,[c],10,10,25
SCQF4,Social Software,0,[c],0,0,0,15,0
SCQF4,Software Development,50,20,25,40,10,45,30
SCQF4,Sporting Events: Personal Best,0,5,0,[c],15,[c],25
SCQF4,Sports Coaching: Angling Coarse (Level 1),[z],0,0,[c],0,[c],0
SCQF4,Sports Coaching: Angling Game (Level 1),[z],0,0,5,0,10,5
SCQF4,Sports Coaching: Angling Sea (Level 1),[z],0,0,0,0,[c],[c]
SCQF4,Sports Coaching: Badminton (Level 1),0,[c],25,15,0,20,30
SCQF4,Sports Coaching: Basketball (Level 1),0,0,20,20,[c],60,130
SCQF4,Sports Coaching: Boccia (Level 1),[z],0,0,0,[c],5,[c]
SCQF4,Sports Coaching: Boxing,[z],0,0,0,0,0,15
SCQF4,Sports Coaching: Coaching Diving (Level 1),0,[c],[c],10,[c],[c],10
SCQF4,Sports Coaching: Coaching Swimming (Level 1),0,15,35,45,15,25,40
SCQF4,Sports Coaching: Coaching Synchronised Swimming (Level 1),0,0,0,0,0,[c],[c]
SCQF4,Sports Coaching: Coaching Water Polo (Level 1),[z],0,10,5,0,0,5
SCQF4,Sports Coaching: Curling (Level 1),0,30,20,20,[c],15,30
SCQF4,Sports Coaching: Equestrian Generic (Level 1),0,0,0,[c],0,[c],5
SCQF4,Sports Coaching: General Gymnastics (Level 1),[c],[c],15,10,0,5,15
SCQF4,Sports Coaching: Gymnastics Acrobatic (Level 1),0,0,[c],[c],0,0,[c]
SCQF4,Sports Coaching: Gymnastics Men's Artistic (Level 1),0,0,[c],0,[c],[c],0
SCQF4,Sports Coaching: Gymnastics Pre-School (Level 1),[z],0,0,0,0,0,[c]
SCQF4,Sports Coaching: Gymnastics Rhythmic (Level 1),[z],0,0,[c],0,0,0
SCQF4,Sports Coaching: Gymnastics Trampolining (Level 1),[c],5,[c],[c],0,[c],10
SCQF4,Sports Coaching: Gymnastics Women's Artistic (Level 1),[c],[c],5,10,0,[c],[c]
SCQF4,Sports Coaching: Hockey (Level 1),[z],0,0,0,0,0,10
SCQF4,Sports Coaching: Judo (Level 1),0,0,45,20,0,20,25
SCQF4,Sports Coaching: Netball (Level 1),0,0,0,[c],0,0,10
SCQF4,Sports Coaching: Orienteering (Level 1),[z],0,[c],[c],0,[c],[c]
SCQF4,Sports Coaching: Rugby Union (Level 1),0,0,0,0,0,430,320
SCQF4,Sports Coaching: Shinty (Level 1),[z],0,10,0,0,0,0
SCQF4,Sports Coaching: Table Tennis (Level 1),[z],0,0,0,0,0,5
SCQF4,Sports Coaching: Teaching Aquatics (Level 1),0,0,0,[c],0,10,190
SCQF4,Sports Coaching: Team Gymnastics (Level 1),0,[c],0,[c],0,[c],[c]
SCQF4,Sports Coaching: Tennis (Level 1),0,0,0,70,70,95,90
SCQF4,Sports Coaching: Triathlon (Level 1),0,[c],15,25,15,30,25
SCQF4,Sports Coaching: Tumbling (Level 1),0,[c],[c],[c],0,[c],[c]
SCQF4,Tenancy,50,30,15,10,[z],[z],[z]
SCQF4,Tenancy and Citizenship,[z],[z],0,0,[c],[c],5
SCQF5,Administration: Information Technology and Audio,20,10,20,[c],[c],[c],10
